date,cindex
2017-12-06,3.552303225
2017-12-07,4.433567426
2017-12-08,7.634197655
2017-12-09,8.636807988
2017-12-10,5.698113924
2017-12-11,5.145128096
2017-12-12,8.218419641
2017-12-13,5.019638234
2017-12-14,3.869696756
2017-12-15,4.792374799
2017-12-16,5.306799337
2017-12-17,5.26546731
2017-12-18,4.490023169
2017-12-19,3.292283599
2017-12-20,4.664589604
2017-12-21,2.942513977
2017-12-22,2.212154461
2017-12-23,5.728306426
2017-12-24,8.11510077
2017-12-25,4.599359697
2017-12-26,6.99628931
2017-12-27,6.959376868
2017-12-28,5.873688586
2017-12-29,3.100662083
2017-12-30,3.383178835
2017-12-31,3.270960604
